Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,615777700,7900.115614758343,2674215,34.308822288824345,171391,6527192,83.74056325801622,8004,0.10268726097181782,662,
United States of America,Americas,95112569,28734.685,299191,90.389,10855,1048387,316.731,2656,0.802,12
India,South-East Asia,44599466,3231.835,23993,1.739,1968,528716,38.313,154,0.011,15
Brazil,Americas,34679533,16315.218,47313,22.259,1023,686320,322.884,515,0.242,66
France,Europe,34444173,52958.968,317348,487.932,7264,151621,233.122,233,0.358,60
Germany,Europe,33386229,40143.741,311268,374.27,0,150064,180.438,56,0.067,0
Republic of Korea,Western Pacific,24848184,48466.119,174554,340.466,16423,28528,55.644,256,0.499,19
The United Kingdom,Europe,23672855,34871.481,19602,28.875,0,190317,280.348,24,0.035,0
Italy,Europe,22542568,37796.79,228956,383.887,13316,177197,297.104,285,0.478,47
Japan,Western Pacific,21345939,16877.401,227614,179.966,15167,45018,35.594,555,0.439,53
Russian Federation,Europe,21094872,14455.031,225158,154.287,21687,387666,265.644,723,0.495,107
Türkiye,Europe,16873793,20007.09,0,0,0,101139,119.92,0,0,0
Spain,Europe,13422984,28358.848,19482,41.16,0,114179,241.227,170,0.359,0
Viet Nam,Western Pacific,11481314,11795.235,7581,7.788,796,43149,44.329,3,0.003,0
Australia,Western Pacific,10191312,39966.111,0,0,0,14853,58.247,0,0,0
Argentina,Americas,9711355,21487.308,2935,6.494,0,129937,287.498,40,0.089,0
Netherlands,Europe,8430861,48432.112,11149,64.047,0,22650,130.116,10,0.057,0
China,Western Pacific,7787140,529.274,312047,21.209,34909,26609,1.809,365,0.025,41
Iran (Islamic Republic of),Eastern Mediterranean,7550021,8988.875,2624,3.124,435,144448,171.976,46,0.055,9
Mexico,Americas,7090330,5499.247,3209,2.489,0,330131,256.049,23,0.018,0
Indonesia,South-East Asia,6437570,2353.57,11721,4.285,1851,158156,57.822,99,0.036,13
Colombia,Americas,6307372,12395.86,820,1.612,0,141794,278.667,25,0.049,0
Poland,Europe,6302275,16603.225,21745,57.287,4619,117631,309.897,150,0.395,33
Portugal,Europe,5493540,53356.532,13272,128.906,0,25031,243.116,20,0.194,0
Ukraine,Europe,5177217,11838.033,0,0,0,109206,249.706,0,0,0
Austria,Europe,5162934,58003.56,83071,933.27,8080,20758,233.208,23,0.258,1
Greece,Europe,4920192,45903.458,0,0,0,33111,308.913,0,0,0
Malaysia,Western Pacific,4845109,14969.75,12101,37.388,1244,36380,112.402,23,0.071,5
Thailand,South-East Asia,4682132,6707.928,3110,4.456,0,32771,46.95,35,0.05,0
Israel,Europe,4665568,53902.673,6890,79.602,1185,11706,135.243,6,0.069,0
Chile,Americas,4633128,24236.657,22775,119.14,2193,61219,320.247,134,0.701,19
Belgium,Europe,4553333,39517.09,14908,129.382,9,32690,283.707,23,0.2,1
Canada,Americas,4251611,11264.887,18207,48.24,0,45218,119.808,193,0.511,0
Peru,Americas,4145301,12572.241,4060,12.314,253,216596,656.912,103,0.312,18
Czechia,Europe,4113902,38469.473,18325,171.359,4818,41142,384.723,80,0.748,6
Switzerland,Europe,4084315,47192.32,8,0.092,0,13565,156.737,0,0,0
South Africa,Africa,4019077,6776.54,1289,2.173,0,102185,172.293,16,0.027,0
Philippines,Western Pacific,3955758,3609.891,15657,14.288,1967,63042,57.53,223,0.204,29
Denmark,Europe,3302418,56715.652,8562,147.044,2884,7087,121.712,48,0.824,13
Romania,Europe,3270591,16920.784,7682,39.744,649,67034,346.808,53,0.274,3
Sweden,Europe,2588441,25063.362,2942,28.487,0,20225,195.835,2,0.019,0
Iraq,Eastern Mediterranean,2460318,6116.772,813,2.021,0,25356,63.039,4,0.01,0
Serbia,Europe,2367015,34172.308,15489,223.613,2201,17031,245.874,71,1.025,13
Hungary,Europe,2094142,21435.451,11392,116.607,0,47503,486.236,46,0.471,0
Bangladesh,South-East Asia,2026908,1230.746,3763,2.285,0,29371,17.834,11,0.007,0
Singapore,Western Pacific,1916993,32767.195,24046,411.019,2713,1622,27.725,7,0.12,2
Slovakia,Europe,1844988,33804.158,2966,54.344,535,20465,374.963,12,0.22,3
Georgia,Europe,1780691,44638.077,0,0,0,16900,423.646,0,0,0
New Zealand,Western Pacific,1772016,36746.793,9807,203.371,0,3070,63.663,33,0.684,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1663653,33511.393,290,5.842,0,7942,159.978,20,0.403,0
Pakistan,Eastern Mediterranean,1572598,711.93,227,0.103,0,30616,13.86,4,0.002,0
Kazakhstan,Europe,1483793,7902.307,480,2.556,29,19052,101.466,3,0.016,2
Norway,Europe,1462451,27246.003,413,7.694,14,4098,76.347,33,0.615,0
Finland,Europe,1292940,23400.392,0,0,0,5981,108.248,0,0,0
Morocco,Eastern Mediterranean,1264978,3427.144,95,0.257,6,16278,44.101,0,0,0
Bulgaria,Europe,1261287,18144.145,5021,72.229,1339,37727,542.719,23,0.331,9
Lithuania,Europe,1253167,44850.631,6568,235.068,1724,9330,333.919,13,0.465,2
Croatia,Europe,1233787,30402.583,4743,116.875,59,16922,416.986,41,1.01,8
Lebanon,Eastern Mediterranean,1216142,17817.769,994,14.563,117,10679,156.459,7,0.103,1
Slovenia,Europe,1187592,56663.681,15775,752.674,737,8273,394.73,9,0.429,1
Tunisia,Eastern Mediterranean,1145686,9693.908,341,2.885,0,29249,247.482,3,0.025,0
Guatemala,Americas,1125205,6280.599,5064,28.266,738,19804,110.541,39,0.218,9
Costa Rica,Americas,1123001,22045.053,5012,98.388,0,8966,176.007,13,0.255,0
Cuba,Americas,1111206,9810.574,45,0.397,6,8530,75.309,0,0,0
Bolivia (Plurinational State of),Americas,1108347,9494.946,439,3.761,31,22237,190.499,5,0.043,0
United Arab Emirates,Eastern Mediterranean,1028317,10397.12,2407,24.337,384,2345,23.71,1,0.01,0
Ecuador,Americas,1005521,5699.246,1893,10.729,363,35899,203.474,5,0.028,2
Nepal,South-East Asia,999829,3431.498,173,0.594,14,12018,41.247,1,0.003,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Panama,Americas,987613,22889.139,747,17.313,0,8502,197.044,5,0.116,0
Uruguay,Americas,986446,28397.314,1024,29.478,0,7495,215.762,10,0.288,0
Mongolia,Western Pacific,983275,29993.533,468,14.276,0,2131,65.003,0,0,0
Puerto Rico,Americas,958776,33513.641,7086,247.688,438,5155,180.191,37,1.293,1
Latvia,Europe,933476,48932.654,7593,398.024,991,6006,314.834,22,1.153,8
Azerbaijan,Europe,821661,8103.825,803,7.92,26,9919,97.828,16,0.158,0
Saudi Arabia,Eastern Mediterranean,816820,2346.249,820,2.355,156,9357,26.877,13,0.037,2
Paraguay,Americas,716543,10046.115,484,6.786,0,19591,274.671,8,0.112,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,702768,13775.945,0,0,0,5707,111.871,0,0,0
Bahrain,Eastern Mediterranean,681675,40061.414,2524,148.333,465,1520,89.329,0,0,0
Sri Lanka,South-East Asia,670805,3132.663,73,0.341,0,16763,78.283,6,0.028,0
Kuwait,Eastern Mediterranean,658520,15419.952,0,0,0,2563,60.015,0,0,0
Dominican Republic,Americas,646209,5956.991,581,5.356,0,4384,40.413,0,0,0
Myanmar,South-East Asia,624292,1147.389,2250,4.135,0,19461,35.767,6,0.011,0
Estonia,Europe,603347,45399.39,1281,96.39,205,2692,202.562,11,0.828,11
Republic of Moldova,Europe,589437,14611.859,0,0,0,11844,293.607,0,0,0
Cyprus,Europe,587994,66215.168,2681,301.913,0,1182,133.107,2,0.225,0
Venezuela (Bolivarian Republic of),Americas,544874,1916.146,349,1.227,14,5816,20.453,2,0.007,0
Egypt,Eastern Mediterranean,515381,503.624,10,0.01,0,24797,24.231,0,0,0
Libya,Eastern Mediterranean,507005,7378.598,19,0.277,1,6437,93.68,0,0,0
Ethiopia,Africa,493588,429.343,60,0.052,0,7572,6.586,0,0,0
Réunion,Africa,476571,53229.6,623,69.585,0,895,99.965,3,0.335,0
Honduras,Americas,456391,4607.866,55,0.555,0,10993,110.989,1,0.01,0
Qatar,Eastern Mediterranean,452638,15710.853,5505,191.076,963,682,23.672,0,0,0
Armenia,Europe,443785,14976.374,910,30.71,910,8691,293.294,8,0.27,8
Bosnia and Herzegovina,Europe,398796,12155.394,381,11.613,0,16138,491.89,7,0.213,0
Oman,Eastern Mediterranean,398424,7802.099,431,8.44,0,4628,90.627,0,0,0
North Macedonia,Europe,343069,16466.943,454,21.792,108,9537,457.766,6,0.288,3
Kenya,Africa,338445,629.416,55,0.102,0,5678,10.56,3,0.006,0
Zambia,Africa,333503,1814.098,116,0.631,0,4017,21.851,0,0,0
Albania,Europe,331144,11506.846,303,10.529,5,3589,124.713,0,0,0
Botswana,Africa,326309,13875.883,0,0,0,2781,118.259,0,0,0
Luxembourg,Europe,292788,46763.178,2324,371.182,29,1131,180.64,3,0.479,0
Montenegro,Europe,280549,44668.998,1055,167.977,69,2782,442.95,1,0.159,0
Kosovo[1],Europe,272035,15149.532,33,1.838,0,3190,177.65,1,0.056,1
Algeria,Africa,270685,617.283,30,0.068,0,6879,15.687,0,0,0
Nigeria,Africa,265431,128.763,115,0.056,0,3155,1.531,0,0,0
Mauritius,Africa,262648,20652.194,0,0,0,1026,80.675,0,0,0
Zimbabwe,Africa,257517,1732.613,141,0.949,0,5602,37.691,3,0.02,0
Uzbekistan,Europe,244257,729.796,84,0.251,12,1637,4.891,0,0,0
Mozambique,Africa,230312,736.87,0,0,0,2222,7.109,0,0,0
Brunei Darussalam,Western Pacific,229665,52497.377,0,0,0,132,30.173,1,0.229,0
Martinique,Americas,221618,59056.4,1426,379.998,1426,1044,278.203,2,0.533,2
Lao People's Democratic Republic,Western Pacific,215880,2967.194,129,1.773,4,757,10.405,0,0,0
Kyrgyzstan,Europe,206160,3159.932,77,1.18,0,2991,45.845,0,0,0
Iceland,Europe,205637,56472.892,32,8.788,0,213,58.495,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4229,65.2,0,0,0
Afghanistan,Eastern Mediterranean,199591,512.714,1008,2.589,319,7803,20.045,5,0.013,4
Guadeloupe,Americas,192801,48185.313,0,0,0,989,247.173,0,0,0
Maldives,South-East Asia,185082,34239.951,40,7.4,0,308,56.98,0,0,0
Trinidad and Tobago,Americas,183181,13089.144,584,41.73,0,4207,300.61,12,0.857,0
Ghana,Africa,169385,545.121,285,0.917,0,1459,4.695,0,0,0
Uganda,Africa,169120,369.734,0,0,0,3630,7.936,0,0,0
Namibia,Africa,166766,6563.252,0,0,0,4080,160.573,0,0,0
Jamaica,Americas,151931,5130.781,225,7.598,0,3320,112.118,9,0.304,0
Cambodia,Western Pacific,137893,824.77,44,0.263,8,3056,18.279,0,0,0
Rwanda,Africa,132504,1023.022,16,0.124,0,1466,11.319,0,0,0
Cameroon,Africa,121652,458.271,0,0,0,1935,7.289,0,0,0
Malta,Europe,114757,22301.793,152,29.54,27,806,156.637,2,0.389,0
Angola,Africa,103131,313.79,0,0,0,1917,5.833,0,0,0
Barbados,Americas,102580,35695.52,144,50.109,0,560,194.867,1,0.348,0
French Guiana,Americas,93974,31462.894,0,0,0,410,137.27,0,0,0
Democratic Republic of the Congo,Africa,92892,103.719,0,0,0,1443,1.611,0,0,0
Senegal,Africa,88408,528,41,0.245,0,1968,11.754,0,0,0
Malawi,Africa,88005,460.038,0,0,0,2680,14.009,0,0,0
Côte d’Ivoire,Africa,87282,330.886,141,0.535,0,826,3.131,3,0.011,0
Suriname,Americas,81106,13825.703,7,1.193,0,1385,236.093,0,0,0
French Polynesia,Western Pacific,76599,27268.358,11,3.916,0,649,231.036,0,0,0
New Caledonia,Western Pacific,74288,26020.498,31,10.858,0,314,109.983,0,0,0
Eswatini,Africa,73410,6327.554,20,1.724,0,1422,122.569,0,0,0
Guyana,Americas,71349,9071.11,34,4.323,1,1281,162.863,0,0,0
Belize,Americas,68854,17316.185,70,17.604,0,686,172.523,3,0.754,0
Fiji,Western Pacific,68242,7612.514,0,0,0,878,97.942,0,0,0
Madagascar,Africa,66684,240.815,8,0.029,0,1410,5.092,0,0,0
Sudan,Eastern Mediterranean,63280,144.313,0,0,0,4961,11.314,0,0,0
Mauritania,Africa,62812,1350.895,18,0.387,0,995,21.399,1,0.022,0
Cabo Verde,Africa,62376,11218.967,8,1.439,0,410,73.743,0,0,0
Bhutan,South-East Asia,62095,8047.48,92,11.923,0,21,2.722,0,0,0
Jersey,Europe,59874,55543.805,0,0,0,138,128.02,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57313,327.491,33,0.189,4,3163,18.074,0,0,0
Burundi,Africa,50193,422.117,39,0.328,0,15,0.126,0,0,0
Guam,Western Pacific,48915,28982.373,45,26.663,0,401,237.594,0,0,0
Gabon,Africa,48713,2188.626,22,0.988,0,306,13.748,0,0,0
Seychelles,Africa,47141,47933.338,783,796.161,0,169,171.841,0,0,0
Andorra,Europe,46227,59829.159,80,103.54,0,155,200.608,0,0,0
Curaçao,Americas,45368,27647.736,11,6.704,0,287,174.901,0,0,0
Papua New Guinea,Western Pacific,45010,503.072,25,0.279,0,668,7.466,4,0.045,0
Aruba,Americas,42970,40246.895,0,0,0,230,215.424,2,1.873,0
Mayotte,Africa,40261,14757.62,18,6.598,0,187,68.545,0,0,0
United Republic of Tanzania,Africa,39440,66.026,0,0,0,845,1.415,0,0,0
Togo,Africa,39105,472.355,118,1.425,0,285,3.443,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Guinea,Africa,37909,288.659,0,0,0,453,3.449,0,0,0
Bahamas,Americas,37309,9487.494,37,9.409,0,833,211.828,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Haiti,Americas,33702,295.566,0,0,0,857,7.516,0,0,0
Mali,Africa,32683,161.391,76,0.375,0,742,3.664,1,0.005,0
Guernsey,Europe,31309,48565.18,210,325.743,0,63,97.723,1,1.551,0
Cayman Islands,Americas,30661,46653.987,116,176.506,0,32,48.691,1,1.522,0
Saint Lucia,Americas,29408,16015.074,0,0,0,393,214.021,0,0,0
Benin,Africa,27638,227.976,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27207,171.186,0,0,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
Timor-Leste,South-East Asia,23257,1763.972,4,0.303,0,138,10.467,0,0,0
United States Virgin Islands,Americas,23177,22194.877,57,54.585,23,123,117.788,0,0,0
Burkina Faso,Africa,21631,103.481,0,0,0,387,1.851,0,0,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
San Marino,Europe,20828,61370.735,94,276.976,0,118,347.693,0,0,0
Gibraltar,Europe,20092,59636.105,23,68.267,0,108,320.56,0,0,0
Liechtenstein,Europe,19644,50698.119,0,0,0,85,219.372,0,0,0
Grenada,Americas,19536,17361.784,0,0,0,237,210.624,0,0,0
Bermuda,Americas,18154,29152.281,32,51.387,0,148,237.663,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17780,158.839,0,0,0,138,1.233,0,0,0
Equatorial Guinea,Africa,16919,1205.929,6,0.428,0,183,13.044,0,0,0
Tonga,Western Pacific,16182,15310.09,0,0,0,12,11.353,0,0,0
Micronesia (Federated States of),Western Pacific,15994,13905.045,5410,4703.407,556,33,28.69,2,1.739,0
Samoa,Western Pacific,15941,8034.211,0,0,0,29,14.616,0,0,0
Dominica,Americas,15747,21873.568,895,1243.211,0,74,102.791,6,8.334,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Marshall Islands,Western Pacific,15305,25855.661,30,50.681,0,17,28.719,0,0,0
Nicaragua,Americas,15070,227.487,25,0.377,0,245,3.698,0,0,0
Central African Republic,Africa,14922,308.959,0,0,0,113,2.34,0,0,0
Monaco,Europe,14666,37371.318,94,239.527,26,63,160.534,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13171,22883.403,0,0,0,40,69.496,0,0,0
Gambia,Africa,12442,514.841,0,0,0,372,15.393,0,0,0
Saint Martin,Americas,11978,30983.73,0,0,0,46,118.989,0,0,0
Vanuatu,Western Pacific,11974,3898.484,24,7.814,0,14,4.558,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11935,40.015,0,0,0,2157,7.232,0,0,0
Sint Maarten,Americas,10863,25332.307,8,18.656,0,87,202.882,0,0,0
Eritrea,Africa,10170,286.768,1,0.028,0,103,2.904,0,0,0
Saint Vincent and the Grenadines,Americas,9448,8516.315,0,0,0,116,104.561,0,0,0
Bonaire,Americas,9419,45034.664,18,86.063,0,31,148.219,0,0,0
Niger,Africa,9411,38.878,6,0.025,0,313,1.293,0,0,0
Antigua and Barbuda,Americas,9098,9290.404,9,9.19,0,146,149.088,0,0,0
Guinea-Bissau,Africa,8796,446.951,0,0,0,175,8.892,0,0,0
Comoros,Africa,8471,974.125,0,0,0,160,18.399,0,0,0
American Samoa,Western Pacific,8247,14941.029,0,0,0,34,61.598,0,0,0
Liberia,Africa,7974,157.661,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7751,97.167,0,0,0,125,1.567,0,0,0
Chad,Africa,7581,46.153,0,0,0,193,1.175,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Saint Kitts and Nevis,Americas,6545,12304.482,2,3.76,0,46,86.479,0,0,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Turks and Caicos Islands,Americas,6380,16478.124,0,0,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,6230,2842.685,0,0,0,77,35.134,0,0,0
Palau,Western Pacific,5460,30179.085,0,0,0,6,33.164,0,0,0
Saint Barthélemy,Americas,5285,53464.846,0,0,0,5,50.582,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3865,25763.232,7,46.66,0,12,79.989,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,3188,55012.942,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1930,55412.001,44,1263.279,0,0,0,0,0,0
Saint Helena,Africa,1783,29369.132,262,4315.599,0,0,0,0,0,0
Montserrat,Americas,1403,28065.613,11,220.044,0,8,160.032,0,0,0
Sint Eustatius,Americas,1196,38101.306,0,0,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,761,6766.85,0,0,0,7,62.244,0,0,0
Saba,Americas,730,37765.132,4,206.932,0,2,103.466,0,0,0
Niue,Western Pacific,80,4944.376,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,20,169.607,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
